array('b', [4, 3, 2, 1, 0]),49
array('b', [3, 0, 2, 1, 4]),38
array('b', [4, 0, 3, 1, 2]),42
array('b', [1, 4, 0, 3, 2]),54
array('b', [3, 1, 2, 0, 4]),43
array('b', [0, 3, 2, 4, 1]),39
array('b', [0, 1, 4, 2, 3]),38
array('b', [4, 2, 0, 3, 1]),26
array('b', [0, 4, 1, 2, 3]),56
array('b', [1, 2, 3, 0, 4]),53
array('b', [4, 3, 1, 2, 0]),40
array('b', [2, 3, 4, 0, 1]),59
array('b', [0, 4, 3, 1, 2]),51
array('b', [1, 4, 0, 2, 3]),55
array('b', [2, 1, 4, 0, 3]),49
array('b', [0, 2, 4, 3, 1]),35
array('b', [2, 1, 4, 0, 3]),49
array('b', [1, 4, 2, 3, 0]),39
array('b', [3, 4, 1, 2, 0]),47
array('b', [1, 2, 0, 3, 4]),44
array('b', [2, 0, 3, 4, 1]),45
array('b', [0, 4, 2, 3, 1]),44
array('b', [1, 2, 3, 4, 0]),62
array('b', [3, 4, 0, 1, 2]),54
array('b', [2, 0, 3, 1, 4]),32
array('b', [1, 0, 2, 4, 3]),38
array('b', [2, 1, 3, 4, 0]),51
array('b', [2, 1, 3, 4, 0]),51
array('b', [0, 4, 1, 3, 2]),50
array('b', [3, 1, 2, 0, 4]),43
array('b', [3, 2, 4, 1, 0]),38
array('b', [0, 2, 1, 3, 4]),40
array('b', [0, 3, 1, 4, 2]),28
array('b', [0, 3, 2, 1, 4]),44
array('b', [3, 0, 4, 2, 1]),43
array('b', [0, 4, 1, 2, 3]),56
array('b', [0, 3, 4, 2, 1]),40
array('b', [2, 4, 3, 0, 1]),37
array('b', [1, 0, 4, 3, 2]),59
array('b', [1, 3, 0, 2, 4]),26
array('b', [4, 3, 0, 2, 1]),44
array('b', [2, 4, 1, 0, 3]),31
array('b', [3, 0, 1, 2, 4]),30
array('b', [3, 4, 1, 0, 2]),44
array('b', [1, 4, 3, 2, 0]),52
array('b', [4, 1, 3, 0, 2]),32
array('b', [1, 0, 4, 2, 3]),47
array('b', [1, 4, 2, 3, 0]),39
array('b', [4, 3, 1, 2, 0]),40
array('b', [0, 3, 1, 2, 4]),27
array('b', [2, 0, 3, 1, 4]),32
array('b', [4, 1, 3, 0, 2]),32
array('b', [3, 2, 4, 1, 0]),38
array('b', [4, 0, 3, 1, 2]),42
array('b', [4, 3, 1, 2, 0]),40
array('b', [3, 0, 2, 1, 4]),38
array('b', [2, 0, 3, 1, 4]),32
array('b', [1, 4, 2, 3, 0]),39
array('b', [4, 1, 3, 0, 2]),32
array('b', [0, 2, 4, 3, 1]),35
array('b', [3, 0, 2, 1, 4]),38
array('b', [2, 0, 3, 4, 1]),45
array('b', [0, 3, 1, 2, 4]),27
array('b', [2, 0, 3, 1, 4]),32
array('b', [0, 3, 1, 4, 2]),28
array('b', [0, 3, 1, 4, 2]),28
array('b', [1, 2, 0, 3, 4]),44
array('b', [0, 3, 4, 2, 1]),40
array('b', [3, 2, 4, 1, 0]),38
array('b', [2, 0, 3, 4, 1]),45
array('b', [0, 1, 4, 2, 3]),38
array('b', [1, 3, 0, 2, 4]),26
array('b', [3, 2, 4, 1, 0]),38
array('b', [4, 1, 3, 0, 2]),32
array('b', [0, 3, 1, 2, 4]),27
array('b', [4, 2, 0, 3, 1]),26
array('b', [2, 4, 1, 0, 3]),31
array('b', [0, 2, 4, 3, 1]),35
array('b', [2, 4, 1, 0, 3]),31
array('b', [1, 3, 0, 2, 4]),26
array('b', [3, 4, 1, 0, 2]),44
array('b', [0, 2, 4, 3, 1]),35
array('b', [4, 0, 3, 1, 2]),42
array('b', [4, 1, 3, 0, 2]),32
array('b', [0, 3, 1, 4, 2]),28
array('b', [2, 0, 3, 1, 4]),32
array('b', [2, 4, 1, 0, 3]),31
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [2, 0, 3, 1, 4]),32
array('b', [0, 3, 4, 2, 1]),40
array('b', [2, 0, 3, 1, 4]),32
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 2, 4, 3, 1]),35
array('b', [2, 4, 1, 0, 3]),31
array('b', [2, 0, 3, 1, 4]),32
array('b', [2, 0, 3, 1, 4]),32
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 4, 2]),28
array('b', [2, 0, 3, 1, 4]),32
array('b', [0, 3, 1, 2, 4]),27
array('b', [3, 2, 4, 1, 0]),38
array('b', [0, 3, 1, 2, 4]),27
array('b', [2, 0, 3, 1, 4]),32
array('b', [0, 3, 1, 4, 2]),28
array('b', [0, 3, 1, 4, 2]),28
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 4, 2]),28
array('b', [2, 4, 1, 0, 3]),31
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [2, 0, 3, 1, 4]),32
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [2, 4, 1, 0, 3]),31
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [1, 3, 0, 2, 4]),26
array('b', [1, 3, 0, 2, 4]),26
array('b', [0, 3, 1, 2, 4]),27
array('b', [0, 3, 1, 2, 4]),27
